Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Non-Contiguous Random,61,1,6,7-12,9,2,0.004761994514465351,8.406,30.1995,3.59,50,1,0.1714,1,0.1243,1,0.0599,xenium_human_breast_cancer_seed4
Contiguous Random,62,0,10,7-12,12,3,0.03735140645156776,11.347,39.4208,3.47,50,1,0.2656,1,0.1155,1,0.0387,xenium_human_breast_cancer_seed4
Non-Contiguous Random,62,0,10,7-12,12,1,3.384694261088228e-06,12.1734,40.7257,3.35,50,1,0.2857,1,0.1197,1,0.0386,xenium_human_breast_cancer_seed4
Contiguous Random,63,1,5,7-12,10,1,-2.5918567549965132e-06,7.7405,31.9279,4.12,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
Non-Contiguous Random,63,1,5,7-12,10,1,9.397487845674846e-07,8.6972,32.4346,3.73,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
Contiguous Random,64,2,7,7-12,10,8,0.11881411499547478,9.2834,32.1224,3.46,50,1,0.082,1,0.098,1,0.0451,xenium_human_breast_cancer_seed4
Non-Contiguous Random,64,2,7,7-12,10,5,0.09531712900133915,7.9371,31.7312,4.0,50,1,0.1915,1,0.1273,1,0.0471,xenium_human_breast_cancer_seed4
Contiguous Random,65,3,7,7-12,7,1,3.3673292310076874e-07,8.1143,23.6239,2.91,50,1,1.0,1,0.7647,1,0.3657,xenium_human_breast_cancer_seed4
Non-Contiguous Random,65,3,7,7-12,7,1,4.584429727394479e-06,6.3605,23.9794,3.77,50,1,0.8,1,0.6111,1,0.1493,xenium_human_breast_cancer_seed4
Contiguous Random,66,1,3,7-12,9,1,-3.3645629883283235e-06,6.8139,27.0753,3.97,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
Non-Contiguous Random,66,1,3,7-12,9,1,2.65225728357521e-06,6.8902,26.6061,3.86,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
Contiguous Random,67,1,13,7-12,7,3,0.05951365328084146,7.1236,25.1989,3.54,50,1,0.2222,1,0.1284,1,0.0604,xenium_human_breast_cancer_seed4
Non-Contiguous Random,67,1,13,7-12,7,2,0.0047960640321419445,6.0158,24.8922,4.14,50,1,0.1316,1,0.0809,1,0.0638,xenium_human_breast_cancer_seed4
Contiguous Random,68,3,10,7-12,8,11,0.16184179103535745,5.7586,27.5991,4.79,50,1,0.1698,1,0.0805,1,0.0287,xenium_human_breast_cancer_seed4
