Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Non-Contiguous Random,56,3,17,7-12,7,1,-2.717137035923578e-06,10.0638,30.8743,3.07,50,1,0.4,1,0.0891,1,0.0537,xenium_human_pancreatic_cancer_seed1
Contiguous Random,57,1,13,7-12,8,1,-4.234221140320127e-06,8.0057,32.0854,4.01,50,1,0.75,1,0.5946,1,0.3401,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,57,1,13,7-12,8,1,-4.4725085747154836e-06,6.9997,31.3711,4.48,50,1,1.0,1,1.0,1,0.9737,xenium_human_pancreatic_cancer_seed1
Contiguous Random,58,3,24,7-12,11,8,0.05305333663234302,7.9235,47.8772,6.04,50,1,0.0976,1,0.0472,1,0.0254,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,58,3,24,7-12,11,56,0.11506415062169117,9.8025,46.5918,4.75,50,1,0.0437,1,0.0379,1,0.0246,xenium_human_pancreatic_cancer_seed1
Contiguous Random,59,0,9,7-12,10,1,6.710085000971588e-07,7.3659,37.2109,5.05,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,59,0,9,7-12,10,1,-9.221010961457665e-07,8.1368,37.6046,4.62,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Contiguous Random,60,0,2,7-12,7,1,5.608179811360942e-07,5.9879,25.4294,4.25,50,1,0.5417,1,0.5052,1,0.5102,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,60,0,2,7-12,7,1,0.0,5.6789,25.0671,4.41,50,1,0.1075,1,0.1075,1,0.1075,xenium_human_pancreatic_cancer_seed1
Contiguous Random,61,0,22,7-12,12,1,1.1299347809634597e-06,11.0361,51.3029,4.65,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,61,0,22,7-12,12,1,2.176142432031014e-06,13.1372,50.9094,3.88,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
