Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Non-Contiguous Random,59,0,5,7-12,8,1,4.34983990688087e-06,2.8136,9.5625,3.4,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,60,0,3,7-12,7,1,2.2132496594884365e-06,2.288,8.6276,3.77,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,60,0,3,7-12,7,1,1.675943231416177e-07,2.2408,8.5869,3.83,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,61,0,5,7-12,11,1,3.845217583453575e-06,3.7269,12.0538,3.23,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,61,0,5,7-12,11,1,4.787094660119173e-06,4.6621,11.9298,2.56,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,62,0,2,7-12,12,1,1.6660912313115617e-06,2.7657,12.8252,4.64,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,62,0,2,7-12,12,1,3.150450980649033e-08,2.6373,11.5605,4.38,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,63,0,5,7-12,10,1,3.673696527650705e-06,4.2091,11.294,2.68,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,63,0,5,7-12,10,1,3.5972996089705944e-06,3.5245,11.2244,3.18,50,1,1.0,1,0.9,1,0.8305,xenium_human_kidney_nondiseased_seed4
Contiguous Random,64,0,15,7-12,7,2,0.008140568594335096,3.2205,9.839,3.06,50,1,0.5,1,0.4848,1,0.1667,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,64,0,15,7-12,7,4,0.05297929557139003,3.6043,9.8993,2.75,50,1,0.35,1,0.2727,1,0.1008,xenium_human_kidney_nondiseased_seed4
Contiguous Random,65,0,18,7-12,11,5,0.14988377979782896,2.6147,13.4332,5.14,50,1,0.2222,1,0.16,1,0.1559,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,65,0,18,7-12,11,4,0.07170321202875019,3.2736,13.6722,4.18,50,1,0.4615,1,0.2449,1,0.1522,xenium_human_kidney_nondiseased_seed4
Contiguous Random,66,0,9,7-12,9,1,5.336507165054627e-07,3.1259,10.6453,3.41,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,66,0,9,7-12,9,1,-4.116719563906912e-06,3.1608,10.4601,3.31,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,67,0,18,7-12,9,8,0.15796066043853763,2.2464,11.5837,5.16,50,1,0.2,1,0.1724,1,0.1308,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,67,0,18,7-12,9,3,0.01347353032430021,2.3978,11.4076,4.76,50,1,0.1852,1,0.1949,1,0.1273,xenium_human_kidney_nondiseased_seed4
Contiguous Random,68,0,10,7-12,10,1,3.6274704877659047e-06,2.881,11.9015,4.13,50,1,1.0,1,0.9545,1,0.9677,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,68,0,10,7-12,10,1,3.693945155980316e-06,3.8886,11.8557,3.05,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,69,0,1,7-12,12,1,-8.693040281504416e-07,2.5307,11.3383,4.48,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,69,0,1,7-12,12,1,-8.693040281504416e-07,2.4241,11.0853,4.57,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,70,0,15,7-12,7,1,-1.6879028666982876e-06,3.241,9.8673,3.04,50,1,0.2727,1,0.2235,1,0.1299,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,70,0,15,7-12,7,1,4.502503824554971e-06,1.8996,9.7731,5.14,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,71,0,2,7-12,12,1,-2.3055839083463425e-06,2.7841,11.4717,4.12,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,71,0,2,7-12,12,1,-2.5654745061665096e-06,3.0098,11.2922,3.75,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Contiguous Random,72,0,15,7-12,7,1,3.495813337917042e-06,2.6243,9.7239,3.71,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
Non-Contiguous Random,72,0,15,7-12,7,1,3.7725182003844893e-06,3.5016,9.8183,2.8,50,1,1.0,1,1.0,1,1.0,xenium_human_kidney_nondiseased_seed4
